SATKER;TGL_DIFF;UP;PAGU;REALISASI;PAGU52;REAL52;PAGU53;REAL53;REALGUP
110068;12;300000000;15009131000;2671691500;15009131000;2671691500;0;0;172840000
440506;25;2000000;167997000;89824718;42860000;20008029;0;0;1650000
574366;27;20000000;5041207000;2796947126;1048172000;496480000;64200000;64200000;20000000
652958;31;60000000;14537592000;8376667907;9517456000;5204788073;0;0;59992399
650829;2;22000000;11329738000;7433103382;1078933000;559684500;0;0;16665600
418462;7;25000000;1959247000;1190973680;525542000;262691000;55500000;55500000;14531000
683996;8;60000000;17621429000;9290892785;13267582000;6270483666;0;0;38624500
418508;13;36000000;9517075000;4932123426;2402640000;946785344;0;0;33000000
626115;10;30000000;2990095000;1785281428;809853000;377561833;100000000;71449320;29309400
420033;27;7900000;848340000;452353562;300034000;127374000;21950000;11300000;7900000
427159;11;120000000;51828406000;14310560796;45632448000;10812293312;1597000000;1230226600;103545491
403709;15;80000000;1837647000;842150073;1781487000;800150073;56160000;42000000;58585918
653700;29;48000000;13229759000;6360762199;4107610000;1443003664;0;0;41626642
401819;8;400000000;67143239000;32922725270;57078580000;27099430701;1250000000;49890000;64846125
411702;9;60000000;5169044000;2821587584;5169044000;2821587584;0;0;33306000
669062;12;24000000;10651294000;2719668882;8890877000;1843971570;120292000;5232000;15351000
637546;28;21000000;5590065000;2215229028;3718830000;1355466263;564267000;89734000;15446664
119036;21;6000000;552941000;108622966;552941000;108622966;0;0;5950000
631158;28;36000000;3065404000;1221196427;2865404000;1214716427;100000000;0;30646069
99003;13;36000000;6090892000;2990155812;1686481000;938379117;77500000;77150000;21465236
99231;13;20000000;354429000;170834797;354429000;170834797;0;0;18240000
111905;13;3000000;6625054000;3924848455;279580000;140890000;36000000;35850000;3000000
418440;16;12270300;6143820000;3489692802;1006723000;582801300;47001000;46990000;11270300
440557;16;1000000;172960000;89876725;55190000;24379100;0;0;1000000
666504;18;1200000;2445814000;1466597034;215027000;177560000;0;0;1200000
641511;14;108000000;26816363000;16804741248;5027839000;2563007231;0;0;90184000
403847;19;180000000;2,08432E+11;1,05192E+11;1,0469E+11;46409393786;82236741000;46959734972;176018344
428233;27;75000000;6499356000;4483703948;4202902000;2684939946;0;0;52522000
7144;7;24000000;6427590000;3341669626;1498746000;509444000;7000000;0;23831000
400944;7;60000000;8749455000;4696853575;5249427000;2901068378;99028000;67289000;43234241
352638;20;300000000;24745086000;19905662759;8199685000;3140554039;0;0;192746000
440502;20;20000000;2211862000;1278444042;841877000;467474891;32000000;32000000;19949560
682562;11;120000000;15958144000;9004325600;5716253000;2414187708;25000000;0;98998298
641482;6;3608400;10971103000;6172771563;3457160000;1763869032;0;0;3608400
650130;6;15000000;2214614000;1334739644;765890000;467756000;361730000;321700000;12656000
237814;6;210000000;17580691000;8179549461;12418998000;5034242708;0;0;129647500
309374;11;7000000;6220190000;3174630435;1022752000;444932300;73210000;69000000;7000000
352639;11;300000000;28236181000;22099330468;8318106000;4981545550;0;0;168027000
622372;14;150000000;16209129000;8260051862;7439281000;3977119627;1600000000;450167554;149489713
428258;15;50000000;5703154000;3824663034;3122175000;2078736463;0;0;49019347
672953;19;5000000;89115000;41355500;89115000;41355500;0;0;2920000
401836;19;10000000;3568715000;2123253337;1046563000;567050000;0;0;10000000
633781;19;400000000;97446570000;40488725752;38631059000;18459822815;57030343000;21443575937;378487735
119037;7;17000000;954102000;357655501;954102000;357655501;0;0;16925000
656553;19;25000000;2843250000;1336574706;837895000;171754099;0;0;22102309
656574;22;15000000;3183354000;1785243641;958506000;300503644;0;0;14952510
665307;3;240000000;44341528000;28453518761;13920948000;7922027979;0;0;240000000
641567;3;150000000;27609379000;14817227560;16664508000;8884461733;0;0;142750000
641642;7;400000000;71436952000;43720890118;21787543000;11597314457;0;0;220925600
426041;32;36000000;6429792000;3602408153;1136584000;458550000;200000000;200000000;36000000
413293;8;180000000;44302886000;21749905012;23607300000;10390626997;2591141000;1194936200;14980000
7151;18;60000000;9878070000;6352540303;2424734000;1765731509;7000000;7000000;58728146
418457;29;40000000;8830120000;4594091420;1625890000;656496889;0;0;26555159
686250;6;440000000;47306926000;21653421897;34318902000;12682999448;0;0;37900000
537894;1;54000000;1743078000;947173527;1743078000;947173527;0;0;53955750
425369;14;210000000;25085746000;17163909588;14975121000;10131211128;1828000000;1424096500;149884468
682914;17;60000000;1870653000;989775156;1870653000;989775156;0;0;45147853
418523;18;18000000;10308977000;5092972338;1805790000;798298499;1750000000;497012300;13860555
418522;12;6000000;2268381000;1436940894;780844000;452273395;32000000;32000000;5893982
656553;20;25000000;2843250000;1336574706;837895000;171754099;0;0;24528229
579213;20;300000000;29702590000;18763496924;19129915000;11643533997;610125000;323800000;217632730
597558;20;15000000;1733771000;969557773;465470000;243758000;27200000;15000000;12795000
428270;14;30000000;7333696000;4812068317;3924619000;2628025022;0;0;26252295
406935;18;60000000;3,88384E+11;2,28035E+11;2000000000;1035104685;3,86384E+11;2,27E+11;56339400
119132;27;102000000;10388165000;5017836635;10388165000;5017836635;0;0;84028815
641461;1;60000000;7239084000;3166429310;3582958000;1036466600;0;0;27044000
656528;9;15000000;2798960000;1310827417;924315000;262866946;0;0;14648650
237788;10;90000000;15079783000;8835880280;8091986000;4322898007;761120000;653108000;89948200
428270;11;30000000;7333696000;4812068317;3924619000;2628025022;0;0;29675553
672952;10;18000000;5792448000;3330816176;1701068000;1077105507;77500000;0;12560500
309360;22;53013000;7314619000;4615962794;1283358000;641304000;49000000;49000000;53013000
403410;31;2400000;92600000;53000000;92600000;53000000;0;0;1200000
418509;15;33000000;33956654000;16770924415;2369362000;1243813000;258650000;248155000;33000000
661211;22;5000000;2384931000;1198072012;506470000;237416412;78400000;78400000;5000000
426072;23;30000000;4284145000;2482160413;1029773000;569188689;18000000;8000000;24140390
98942;5;42000000;18877945000;11957244758;2803926000;1571109751;443000000;391654000;37351545
401944;7;30000000;29325014000;3238858460;1076688000;635524418;25475636000;880299093;24825751
119132;18;102000000;10388165000;5017836635;10388165000;5017836635;0;0;90531000
7172;18;80000000;8970219000;4962434303;2590098000;1265863939;207000000;7000000;79999990
410291;1;90000000;11506971000;5632371086;6164177000;2461778201;162477000;75185300;49950000
672969;3;20000000;3967705000;2307741360;1405737000;869564696;87500000;84250000;18305000
99003;8;36000000;6090892000;2990155812;1686481000;938379117;77500000;77150000;23682331
111904;8;15000000;3075014000;1661570870;905372000;267180826;0;0;12267750
637550;12;30000000;4830164000;2221775590;3153094000;1222599058;18722000;17220000;29437100
111714;20;300000000;43581925000;26547544567;13186783000;7056559554;0;0;287973500
641681;21;400000000;74095791000;38697340127;18880388000;9304817820;746000000;323822290;393571500
418419;21;18000000;1815011000;1043602975;414364000;202757407;34900000;34900000;17965000
401949;22;30000000;9669468000;6111115931;998644000;580701515;6210297000;4277485129;27397200
418359;26;51000000;6347250000;4014726419;3344812000;2231310784;0;0;35059530
655366;32;90000000;15359682000;3545466884;13339104000;2320331617;69507000;5230000;66957408
650114;32;16200000;10128619000;4902535204;816009000;330926252;186000000;85220000;10414470
661211;29;5000000;2384931000;1198072012;506470000;237416412;78400000;78400000;5000000
653700;25;48000000;13229759000;6360762199;4107610000;1443003664;0;0;42606296
700235;19;300000000;29315928000;14250442568;12530293000;5745983622;2044950000;619720050;168932557
641698;7;300000000;50077448000;31365998485;14574164000;8589422910;0;0;299984000
402638;15;60000000;3857212000;2607426647;1263012000;836971044;10000000;10000000;50075000
656553;31;25000000;2843250000;1336574706;837895000;171754099;0;0;12519070
641592;12;30000000;34491545000;19943071380;16101341000;9563426857;0;0;27955000
410574;6;120000000;12933145000;7153145110;6165714000;3691440715;284993000;0;76546000
656581;31;30000000;3275169000;1739396160;831626000;231169029;0;0;15973120
401833;10;20000000;2886183000;1566745797;984940000;492703250;0;0;18246000
440559;14;2000000;571233000;351392198;142150000;70071500;0;0;1613500
567495;6;120000000;14821595000;4962742550;8198395000;1939865198;1420000000;15328590;119214750
449752;8;120000000;11329222000;6834322670;3807463000;1666327895;397834000;0;60635452
561541;2;90000000;10661579000;5486002291;3159928000;1336018942;351462000;0;58048384
641677;2;300000000;75086458000;39912737130;18916054000;9561809119;776608000;481273891;232645000
553125;8;30000000;4662277000;2564222928;925706000;428175939;109150000;109102000;29664900
666502;31;38400000;9148750000;4463121265;2577690000;855221000;0;0;19536300
686250;2;440000000;47306926000;21653421897;34318902000;12682999448;0;0;19200000
653700;2;48000000;13229759000;6360762199;4107610000;1443003664;0;0;43996694
431127;6;100000000;14423694000;3191369149;12849198000;2362248919;50785000;0;68217636
402017;11;6000000;73905000;31963750;73905000;31963750;0;0;5960000
686250;3;440000000;47306926000;21653421897;34318902000;12682999448;0;0;20000000
98959;5;30000000;5818674000;3354053795;1715295000;751432948;111000000;77500000;29839641
418359;28;51000000;6347250000;4014726419;3344812000;2231310784;0;0;25998088
682892;29;60000000;1939726000;901317615;1933376000;901317615;6350000;0;42243513
111714;1;300000000;43581925000;26547544567;13186783000;7056559554;0;0;173913600
401819;3;400000000;67143239000;32922725270;57078580000;27099430701;1250000000;49890000;226716583
675577;6;18000000;9888967000;1758960948;8308538000;1151477553;438152000;20600000;9548472
402242;7;60000000;12115493000;6271156153;1580832000;859220111;145000000;144500000;59999947
239441;10;400000000;40800148000;14017284955;33161105000;10111916134;1614497000;269001013;399707884
537894;15;54000000;1743078000;947173527;1743078000;947173527;0;0;35952939
641592;3;30000000;34491545000;19943071380;16101341000;9563426857;0;0;29978000
417641;9;30600000;8636007000;4134156493;1864327000;890881041;207000000;0;25000000
498092;10;51000000;1,2675E+11;21456548627;1750000000;666433827;1,25E+11;20790114800;50818500
415383;14;60000000;5127259000;2511611568;2166580000;900166511;46000000;0;30563585
418513;21;20000000;5270384000;2691966097;1028161000;495117797;245238000;129038000;20000000
683593;13;57000000;15395191000;8407302354;11083905000;5438426266;0;0;56953910
574366;10;20000000;5041207000;2796947126;1048172000;496480000;64200000;64200000;20000000
7233;7;36000000;5334731000;3414744914;1478445000;578813159;7000000;7000000;35595000
110100;7;400000000;1,77628E+11;77100017649;1,77628E+11;77100017649;0;0;399350748
637546;7;21000000;5590065000;2215229028;3718830000;1355466263;564267000;89734000;17770000
641592;7;30000000;34491545000;19943071380;16101341000;9563426857;0;0;26940000
672969;7;20000000;3967705000;2307741360;1405737000;869564696;87500000;84250000;19548775
418009;10;75000000;9905622000;4283235841;9905622000;4283235841;0;0;3778000
418310;10;54000000;1722484000;646236555;1708067000;637319755;14417000;8916800;41061802
418374;11;39000000;9163495000;6418899210;1613048000;968666000;375000000;363115000;39000000
428242;13;60000000;9962056000;5645302898;6750333000;3420664983;0;0;59406000
506126;14;60000000;1234115000;649161160;1234115000;649161160;0;0;30005700
650131;15;8000000;3918586000;2128127704;764615000;346372092;6000000;6000000;7111000
641698;18;300000000;50077448000;31365998485;14574164000;8589422910;0;0;300000000
440504;19;28000000;17556699000;8489077080;1073876000;481965985;104020000;87800000;26711597
424220;19;12000000;6709344000;4784043449;1413630000;669452373;243500000;232500000;11946500
110100;10;400000000;1,77628E+11;77100017649;1,77628E+11;77100017649;0;0;399145196
426035;12;11865000;7507473000;4887711138;1266274000;679694384;160000000;150000000;11865000
420148;28;120000000;5188256000;1586719362;5063345000;1484749362;124911000;101970000;117863820
656492;28;30000000;3373671000;1627001941;944848000;206256339;0;0;17956726
99228;29;40000000;641515000;278628221;641515000;278628221;0;0;24925000
402251;1;27000000;3506544000;2529231912;1122784000;813946631;10000000;9900000;26967000
634530;6;30000000;1439194000;814437291;1191434000;691232291;0;0;15629000
402252;6;5000000;199500000;174450000;199500000;174450000;0;0;3000000
418523;8;18000000;10308977000;5092972338;1805790000;798298499;1750000000;497012300;17783293
663212;14;4000000;175700000;88918400;175700000;88918400;0;0;3946500
626115;15;30000000;2990095000;1785281428;809853000;377561833;100000000;71449320;28012093
